                                   | Core 0     
  Instructions                     |  1000002997
  Cycles                           |  1436731814
  IPC                              |        0.70
  Time (ns)                        |   540124742
  Idle time (ns)                   |        -284
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   117000522
  num incorrect                    |    10513513
  misprediction rate               |       8.24%
  mpki                             |       10.51
TLB Summary                        |            
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |           0
    num cache misses               |           0
    miss rate                      |        inf%
    mpki                           |        0.00
  Cache L1-D                       |            
    num cache accesses             |   484821294
    num cache misses               |    14039186
    miss rate                      |       2.90%
    mpki                           |       14.04
  Cache L2                         |            
    num cache accesses             |    14039186
    num cache misses               |     8081218
    miss rate                      |      57.56%
    mpki                           |        8.08
  Cache L3                         |            
    num cache accesses             |     8081218
    num cache misses               |      140525
    miss rate                      |       1.74%
    mpki                           |        0.14
DRAM summary                       |            
  num dram accesses                |      140525
  average dram access latency (ns) |       56.39
  average dram queueing delay      |        0.00
