                                   | Core 0     
  Instructions                     |  1000002998
  Cycles                           |  1333463606
  IPC                              |        0.75
  Time (ns)                        |   501302108
  Idle time (ns)                   |       -1397
  Idle time (%)                    |       -0.0%
Branch predictor stats             |            
  num correct                      |   134634651
  num incorrect                    |    34655370
  misprediction rate               |      20.47%
  mpki                             |       34.66
TLB Summary                        |            
Cache Summary                      |            
  Cache L1-I                       |            
    num cache accesses             |           0
    num cache misses               |           0
    miss rate                      |        inf%
    mpki                           |        0.00
  Cache L1-D                       |            
    num cache accesses             |   320974219
    num cache misses               |     1177401
    miss rate                      |       0.37%
    mpki                           |        1.18
  Cache L2                         |            
    num cache accesses             |     1177401
    num cache misses               |      380819
    miss rate                      |      32.34%
    mpki                           |        0.38
  Cache L3                         |            
    num cache accesses             |      380819
    num cache misses               |      310665
    miss rate                      |      81.58%
    mpki                           |        0.31
DRAM summary                       |            
  num dram accesses                |      310665
  average dram access latency (ns) |       56.39
  average dram queueing delay      |        0.00
